Dataset,Variable,Total variation distance
Gaussian Copula (default),Gender,0.0006949741900157957
Gaussian Copula (default),Admission Type,0.0013033691038342801
Gaussian Copula (default),Admission Location,0.0008306930554060506
Gaussian Copula (default),Insurance,0.0008494128989081559
Gaussian Copula (default),Marital Status,0.000776873505337514
Gaussian Copula (default),Race,0.002412519831334219
Gaussian Copula (default),Language,0.00047267604842826053
Gaussian Copula (default),ICU Stay,0.00026441778946727224
Gaussian Copula (tuned),Gender,0.0019000641154639786
Gaussian Copula (tuned),Admission Type,0.0008774926641613185
Gaussian Copula (tuned),Admission Location,0.0007347538574577308
Gaussian Copula (tuned),Insurance,0.0003205773199735914
Gaussian Copula (tuned),Marital Status,0.0010015116273627833
Gaussian Copula (tuned),Race,0.0019772834699102095
Gaussian Copula (tuned),Language,0.0005779751681275836
Gaussian Copula (tuned),ICU Stay,0.00126124945595453
CTGAN (default),Gender,0.010731150287583563
CTGAN (default),Admission Type,0.10171426966870559
CTGAN (default),Admission Location,0.10483580357268213
CTGAN (default),Insurance,0.11218334214725967
CTGAN (default),Marital Status,0.06225517954669895
CTGAN (default),Race,0.15467738689704555
CTGAN (default),Language,0.12439336007150979
CTGAN (default),ICU Stay,0.011842640995521306
CTGAN (tuned),Gender,0.013117930334102385
CTGAN (tuned),Admission Type,0.06670582233932525
CTGAN (tuned),Admission Location,0.0769198369501631
CTGAN (tuned),Insurance,0.07457283657108627
CTGAN (tuned),Marital Status,0.039604168909147905
CTGAN (tuned),Race,0.12832218722651478
CTGAN (tuned),Language,0.1060876931068856
CTGAN (tuned),ICU Stay,0.03652007469217555
TVAE (default),Gender,0.0038726676244986435
TVAE (default),Admission Type,0.058445691394019963
TVAE (default),Admission Location,0.03721738886262911
TVAE (default),Insurance,0.022597191087482534
TVAE (default),Marital Status,0.02738479106314673
TVAE (default),Race,0.43114373563837005
TVAE (default),Language,0.022835869092134375
TVAE (default),ICU Stay,0.006601084814930949
TVAE (tuned),Gender,0.008213331336550056
TVAE (tuned),Admission Type,0.030733303069586326
TVAE (tuned),Admission Location,0.028994697604328008
TVAE (tuned),Insurance,0.03065374373470238
TVAE (tuned),Marital Status,0.03389695662144266
TVAE (tuned),Race,0.24669477763165906
TVAE (tuned),Language,0.031152159567945998
TVAE (tuned),ICU Stay,0.006058209353369787
TabDDPM (default),Gender,0.0012893292212076968
TabDDPM (default),Admission Type,0.03685469189477577
TabDDPM (default),Admission Location,0.5349569677597494
TabDDPM (default),Insurance,0.032907144896268684
TabDDPM (default),Marital Status,0.014814416151480951
TabDDPM (default),Race,0.4769160929814627
TabDDPM (default),Language,0.383880810756422
TabDDPM (default),ICU Stay,0.007583876598791658
TabDDPM (tuned),Gender,0.0021925616701844453
TabDDPM (tuned),Admission Type,0.015907187015916563
TabDDPM (tuned),Admission Location,0.4691847976150919
TabDDPM (tuned),Insurance,0.016403262868722426
TabDDPM (tuned),Marital Status,0.016054605783495657
TabDDPM (tuned),Race,0.41255025107990095
TabDDPM (tuned),Language,0.4058485471061461
TabDDPM (tuned),ICU Stay,0.00648876575391831
