step,mloss,gloss,loss
100,0.3187,1.1609,1.4796
200,0.2885,1.0025,1.291
300,0.2769,1.0007,1.2775999999999998
400,0.2747,0.9846,1.2593
500,0.2862,0.9855,1.2717
600,0.2893,0.998,1.2873
700,0.2863,0.9998,1.2861
800,0.2731,0.9971,1.2702
900,0.2914,0.9684,1.2598
1000,0.2831,0.8872,1.1703000000000001
1100,0.285,0.8629,1.1479
1200,0.2819,0.8472,1.1291
1300,0.2855,0.8479,1.1334
1400,0.2821,0.8367,1.1188
1500,0.2832,0.8226,1.1058
1600,0.2897,0.8341,1.1238
1700,0.2856,0.8608,1.1464
1800,0.2947,0.8355,1.1302
1900,0.3091,0.8408,1.1499
2000,0.31,0.8639,1.1739
2100,0.3054,0.8493,1.1547
2200,0.3059,0.8463,1.1522000000000001
2300,0.3057,0.8473,1.153
2400,0.3054,0.8455,1.1509
2500,0.3027,0.8446,1.1473
2600,0.3061,0.8415,1.1476
2700,0.3045,0.8433,1.1478000000000002
2800,0.302,0.8413,1.1433
2900,0.3026,0.8413,1.1439
3000,0.3039,0.8409,1.1448
3100,0.3022,0.8403,1.1425
3200,0.3012,0.8412,1.1423999999999999
3300,0.3022,0.838,1.1402
3400,0.3023,0.8399,1.1421999999999999
3500,0.3011,0.8384,1.1395
3600,0.3014,0.8375,1.1389
3700,0.3024,0.8399,1.1423
3800,0.3005,0.8375,1.138
3900,0.3009,0.8377,1.1386
4000,0.3002,0.8392,1.1394
4100,0.3015,0.8391,1.1406
4200,0.2999,0.8387,1.1386
4300,0.3003,0.8378,1.1381000000000001
4400,0.3032,0.8389,1.1421000000000001
4500,0.3017,0.8382,1.1399
4600,0.3005,0.8389,1.1394
4700,0.3017,0.8384,1.1401000000000001
4800,0.301,0.8375,1.1385
4900,0.3012,0.8369,1.1381000000000001
5000,0.3001,0.838,1.1381
5100,0.3013,0.8392,1.1404999999999998
5200,0.3013,0.8374,1.1387
5300,0.3014,0.8307,1.1320999999999999
5400,0.2996,0.8384,1.138
5500,0.2991,0.843,1.1421
5600,0.3011,0.839,1.1401
5700,0.2994,0.837,1.1364
5800,0.2998,0.8386,1.1384
5900,0.3009,0.8382,1.1391
6000,0.299,0.8375,1.1365
6100,0.3006,0.8371,1.1377
6200,0.3003,0.8367,1.137
6300,0.2998,0.8342,1.1340000000000001
6400,0.2997,0.8348,1.1345
6500,0.2988,0.8359,1.1347
6600,0.3007,0.8359,1.1366
6700,0.3003,0.8368,1.1371
6800,0.3006,0.8357,1.1362999999999999
6900,0.3015,0.835,1.1364999999999998
7000,0.3001,0.8355,1.1356
7100,0.2998,0.8352,1.135
7200,0.3006,0.8368,1.1374
7300,0.3009,0.8351,1.136
7400,0.2994,0.8366,1.1360000000000001
7500,0.3007,0.835,1.1357
7600,0.3003,0.8339,1.1341999999999999
7700,0.3,0.8342,1.1342
7800,0.2995,0.8341,1.1336
7900,0.2992,0.8348,1.134
8000,0.2996,0.868,1.1676
8100,0.3039,0.8602,1.1641
8200,0.3021,0.8402,1.1422999999999999
8300,0.2989,0.8365,1.1354
8400,0.2984,0.8388,1.1372
8500,0.3004,0.8363,1.1367
8600,0.3043,0.8358,1.1401
8700,0.3008,0.8356,1.1364
8800,0.3003,0.8351,1.1354
8900,0.2998,0.835,1.1348
9000,0.3021,0.8345,1.1366
9100,0.2998,0.8343,1.1341
