config_label,config,round,val_roc_auc,mean_ks,mean_tvd,loss_improvement_pct,converged,seconds,seed
lr=0.001 + wide 512,"{""lr"": 0.001, ""model_params"": {""n_units_hidden"": 512, ""n_layers_hidden"": 3, ""dropout"": 0.0}}",screen,0.5680926212260689,0.030939999999999968,0.18777500000000003,3.869986354383375,False,836.9629285335541,
lr=0.001,"{""lr"": 0.001}",screen,0.560637129465015,0.030120000000000008,0.18974999999999997,3.4431220592305642,False,818.5556676387787,
timesteps=2000,"{""num_timesteps"": 2000}",screen,0.5568075907180949,0.02701999999999999,0.17984,4.2487752367143425,False,861.8121201992035,
timesteps=500,"{""num_timesteps"": 500}",screen,0.5562929705393269,0.028540000000000038,0.188975,4.234702835571913,False,830.0338687896729,
weight_decay=1e-3,"{""weight_decay"": 0.001}",screen,0.5539267363071358,0.027760000000000007,0.18840500000000004,4.103542884408908,False,833.9095482826233,
reported settings,{},screen,0.550814862340423,0.03505999999999998,0.178585,4.141651440006949,False,813.9264361858368,
wide network 512,"{""model_params"": {""n_units_hidden"": 512, ""n_layers_hidden"": 3, ""dropout"": 0.0}}",screen,0.5467015488525155,0.036719999999999975,0.18509499999999998,4.381065013779929,False,838.7478427886963,
dim_embed=256,"{""dim_embed"": 256}",screen,0.5294845486042208,0.041819999999999996,0.18585500000000002,4.464267127422623,False,840.7325963973999,
lr=0.005,"{""lr"": 0.005}",screen,0.5178260068782113,0.42212000000000005,0.618335,-0.0400612867404203,True,824.6866769790649,
deep network 5 layers,"{""model_params"": {""n_units_hidden"": 256, ""n_layers_hidden"": 5, ""dropout"": 0.0}}",screen,0.4951160015288548,0.40508000000000005,0.38194,-0.03912363067291901,True,846.8309609889984,
lr=0.001 + wide 512,"{""lr"": 0.001, ""model_params"": {""n_units_hidden"": 512, ""n_layers_hidden"": 3, ""dropout"": 0.0}}",promote,0.6010743369978717,0.01669500000000003,0.18240625,1.516361045019649,False,3344.7909865379333,0.0
lr=0.001 + wide 512,"{""lr"": 0.001, ""model_params"": {""n_units_hidden"": 512, ""n_layers_hidden"": 3, ""dropout"": 0.0}}",promote,0.6020996537263807,0.016165000000000013,0.18561124999999995,1.6037543678215118,False,3424.2129452228546,1.0
lr=0.001 + wide 512,"{""lr"": 0.001, ""model_params"": {""n_units_hidden"": 512, ""n_layers_hidden"": 3, ""dropout"": 0.0}}",promote,0.6021228626279465,0.015459999999999974,0.18186249999999998,1.544989197921287,False,3318.9371004104614,2.0
lr=0.001,"{""lr"": 0.001}",promote,0.5935637087322491,0.017504999999999993,0.18360125,1.460160783482094,False,3311.1745703220367,0.0
lr=0.001,"{""lr"": 0.001}",promote,0.5948301984841872,0.015935000000000032,0.18307625,1.5254810101504557,False,3257.027284860611,1.0
lr=0.001,"{""lr"": 0.001}",promote,0.5974839100248481,0.018165000000000042,0.18227624999999997,1.5064278608494055,False,3223.3417785167694,2.0
